2019-11-26,BE5613,56937.30
2019-11-26,YR3217,53279.80
2019-11-26,YR8837,51298.80
2019-11-26,BE1054,50658.30
2019-11-26,YR4098,50250.90
2019-11-26,YR6068,49130.90
2019-11-26,BE5092,49100.10
2019-11-26,YR8129,48654.20
2019-11-26,YR8558,48414.80
2019-11-26,YR5190,47929.70
2019-11-26,BE2494,47790.40
2019-11-26,BE4797,46991.70
2019-11-26,YR5698,46438.70
2019-11-26,YR6095,46213.30
2019-11-26,BE9667,45528.70
2019-11-26,BE9002,45331.30
2019-11-26,OJ5085,45246.00
2019-11-26,BE3466,45014.90
2019-11-26,GQ5324,44835.00
2019-11-26,XV5324,44835.00
2019-11-26,BE9628,44514.40
2019-11-26,BE3513,44256.10
2019-11-26,BE3684,44043.30
2019-11-26,OJ2536,43529.40
2019-11-26,XV1054,43421.40
2019-11-26,BE2612,42417.90
2019-11-26,BE9451,42396.90
2019-11-26,XV4868,41992.20
2019-11-26,OJ5865,41976.00
2019-11-26,BE2889,41569.50
2019-11-26,OJ9992,41529.60
2019-11-26,OJ8558,41498.40
2019-11-26,GQ8275,41220.00
2019-11-26,XV6314,40909.80
2019-11-26,YR2955,40861.80
2019-11-26,BE6167,40801.60
2019-11-26,XV3949,40585.20
2019-11-26,XV7687,40520.40
2019-11-26,GQ9387,40363.80
2019-11-26,YR6083,40281.50
2019-11-26,XV4797,40278.60
2019-11-26,OJ9732,40242.00
2019-11-26,BE5386,40036.50
2019-11-26,XV9568,39961.20
2019-11-26,GQ9568,39961.20
2019-11-26,OJ1343,39655.80
2019-11-26,GQ1780,39637.80
2019-11-26,XV1780,39637.80
2019-11-26,GQ6095,39611.40
2019-11-26,YR7220,39604.60
2019-11-26,YR4226,39550.70
2019-11-26,YR7896,39456.90
2019-11-26,OJ4468,39306.60
2019-11-26,GQ6177,38600.40
2019-11-26,XV6177,38600.40
2019-11-26,XV7397,38502.60
2019-11-26,OJ9269,37833.00
2019-11-26,YR4165,37736.30
2019-11-26,BE9225,37632.70
2019-11-26,OJ7306,37611.00
2019-11-26,BE6693,37545.90
2019-11-26,XV4304,37536.00
2019-11-26,BE3766,37499.70
2019-11-26,YR5986,37494.80
2019-11-26,GQ5488,37339.80
2019-11-26,XV5488,37339.80
2019-11-26,YR5005,36842.40
2019-11-26,OJ3183,36607.20
2019-11-26,OJ9922,36586.20
2019-11-26,GQ9784,36475.20
2019-11-26,XV9784,36475.20
2019-11-26,GQ8531,36183.00
2019-11-26,XV8531,36183.00
2019-11-26,GQ7785,36075.60
2019-11-26,XV7785,36075.60
2019-11-26,YR4591,36028.30
2019-11-26,XV2889,35631.00
2019-11-26,GQ4721,35599.20
2019-11-26,XV4721,35599.20
2019-11-26,GQ4211,35436.60
2019-11-26,XV4211,35436.60
2019-11-26,OJ7592,35356.80
2019-11-26,BE5249,35351.40
2019-11-26,YR1475,35067.20
2019-11-26,OJ2955,35024.40
2019-11-26,GQ8391,34967.40
2019-11-26,XV8391,34967.40
2019-11-26,GQ8870,34351.80
2019-11-26,XV8870,34351.80
2019-11-26,OJ4886,34276.20
2019-11-26,XV7837,33889.20
2019-11-26,GQ8207,33834.60
2019-11-26,GQ7896,33820.20
2019-11-26,XV6365,33780.00
2019-11-26,GQ1461,33568.20
2019-11-26,XV1461,33568.20
2019-11-26,OJ6529,32951.40
2019-11-26,OJ3977,32895.00
2019-11-26,GQ2163,32842.20
2019-11-26,XV2163,32842.20
2019-11-26,YR1845,32349.80
2019-11-26,XV6693,32182.20
2019-11-26,XV3766,32142.60
2019-11-26,XV4758,31990.20
2019-11-26,XV3375,31656.00
2019-11-26,GQ3360,31614.60
2019-11-26,XV3360,31614.60
2019-11-26,OJ5005,31579.20
2019-11-26,GQ3106,31330.80
2019-11-26,GQ3700,31326.60
2019-11-26,OJ9422,30951.00
2019-11-26,BE4691,30701.30
2019-11-26,GQ4201,30626.40
2019-11-26,YR1632,30366.00
2019-11-26,XV5249,30301.20
2019-11-26,YR1393,30264.50
2019-11-26,YR8834,29929.90
2019-11-26,GQ3170,29926.80
2019-11-26,YR8867,29340.50
2019-11-26,BE8164,29145.20
2019-11-26,YR2692,28954.10
2019-11-26,YR8473,28900.20
2019-11-26,YR4368,28715.40
2019-11-26,BE7495,28648.90
2019-11-26,YR5253,28525.70
2019-11-26,GQ7388,28036.20
2019-11-26,XV7388,28036.20
2019-11-26,OJ5020,28004.40
2019-11-26,BE1377,27461.70
2019-11-26,YR8737,27018.60
2019-11-26,BE2437,26738.60
2019-11-26,GQ5000,26661.00
2019-11-26,XV5000,26661.00
2019-11-26,OJ2470,26567.40
2019-11-26,XV3613,26527.20
2019-11-26,BE7565,26071.50
2019-11-26,YR8930,26059.60
2019-11-26,OJ1393,25941.00
2019-11-26,GQ7679,25824.00
2019-11-26,XV7679,25824.00
2019-11-26,OJ8445,25734.60
2019-11-26,BE4659,25188.10
2019-11-26,OJ1674,25173.60
2019-11-26,OJ8867,25149.00
2019-11-26,BE1512,25148.90
2019-11-26,OJ2461,25059.00
2019-11-26,GQ3587,24894.60
2019-11-26,YR6219,24614.10
2019-11-26,GQ4368,24613.20
2019-11-26,GQ1372,24424.20
2019-11-26,OJ2039,24172.20
2019-11-26,XV2437,22918.80
2019-11-26,OJ8079,22579.80
2019-11-26,GQ9524,21659.40
2019-11-26,OJ8807,19293.60
