Retailer country,Order method type,Retailer type,Product line,Product type,Product,Year,Quarter,Revenue,Quantity,Gross margin
United States,Fax,Outdoors Shop,Camping Equipment,Cooking Gear,TrailChef Water Bag,2013,Q1 2013,19418.52,3102,0.53194888
United States,Fax,Outdoors Shop,Camping Equipment,Cooking Gear,TrailChef Cook Set,2013,Q1 2013,42304.32,794,0.34365616
United States,Fax,Outdoors Shop,Camping Equipment,Cooking Gear,TrailChef Single Flame,2013,Q1 2013,52266.32,824,0.26880025
United States,Fax,Outdoors Shop,Camping Equipment,Tents,Star Peg,2013,Q1 2013,5211.64,2659,0.48979592
United States,Fax,Outdoors Shop,Camping Equipment,Sleeping Bags,Hibernator Camp Cot,2013,Q1 2013,51714.46,521,0.3426355
United States,Fax,Outdoors Shop,Camping Equipment,Packs,Canyon Mule Journey Backpack,2013,Q1 2013,112037.76,318,0.39449932
United States,Fax,Outdoors Shop,Camping Equipment,Packs,Canyon Mule Cooler,2013,Q1 2013,22786.56,736,0.51550388
United States,Fax,Outdoors Shop,Camping Equipment,Lanterns,Firefly Lite,2013,Q1 2013,12559.96,868,0.53351762
United States,Fax,Outdoors Shop,Camping Equipment,Lanterns,Firefly Extreme,2013,Q1 2013,13101.88,242,0.44052457
United States,Fax,Outdoors Shop,Camping Equipment,Lanterns,EverGlow Double,2013,Q1 2013,3494.05,67,0.44870566
United States,Fax,Outdoors Shop,Camping Equipment,Lanterns,EverGlow Kerosene,2013,Q1 2013,12967.05,411,0.36608558
United States,Fax,Outdoors Shop,Mountaineering Equipment,Rope,Husky Rope 50,2013,Q1 2013,32832.0,216,0.33611842
United States,Fax,Outdoors Shop,Mountaineering Equipment,Rope,Husky Rope 200,2013,Q1 2013,57900.38,106,0.32198891
United States,Fax,Outdoors Shop,Mountaineering Equipment,Safety,Granite Climbing Helmet,2013,Q1 2013,43093.9,613,0.25263158
United States,Fax,Outdoors Shop,Mountaineering Equipment,Safety,Husky Harness,2013,Q1 2013,22847.5,370,0.29117409
United States,Fax,Outdoors Shop,Mountaineering Equipment,Safety,Husky Harness Extreme,2013,Q1 2013,50264.5,481,0.48392344
United States,Fax,Outdoors Shop,Mountaineering Equipment,Safety,Granite Signal Mirror,2013,Q1 2013,7128.0,216,0.52393939
United States,Fax,Outdoors Shop,Mountaineering Equipment,Climbing Accessories,Granite Carabiner,2013,Q1 2013,31832.6,8377,0.48421053
United States,Fax,Outdoors Shop,Mountaineering Equipment,Climbing Accessories,Granite Belay,2013,Q1 2013,45153.5,679,0.48165414
United States,Fax,Outdoors Shop,Mountaineering Equipment,Climbing Accessories,Granite Pulley,2013,Q1 2013,38481.84,1044,0.50217037
United States,Fax,Outdoors Shop,Mountaineering Equipment,Climbing Accessories,Firefly Climbing Lamp,2013,Q1 2013,9131.27,233,0.44628732
United States,Fax,Outdoors Shop,Mountaineering Equipment,Climbing Accessories,Firefly Charger,2013,Q1 2013,19577.61,377,0.56942037
United States,Fax,Outdoors Shop,Mountaineering Equipment,Climbing Accessories,Firefly Rechargeable Battery,2013,Q1 2013,13316.16,1716,0.59407216
United States,Fax,Outdoors Shop,Mountaineering Equipment,Climbing Accessories,Granite Chalk Bag,2013,Q1 2013,4500.0,250,0.52611111
United States,Fax,Outdoors Shop,Mountaineering Equipment,Tools,Granite Ice,2013,Q1 2013,41116.0,541,0.48723684
United States,Fax,Outdoors Shop,Mountaineering Equipment,Tools,Granite Grip,2013,Q1 2013,15170.4,774,0.49540816
United States,Fax,Outdoors Shop,Mountaineering Equipment,Tools,Granite Axe,2013,Q1 2013,103337.6,2707,0.48866008
United States,Fax,Outdoors Shop,Personal Accessories,Watches,Mountain Man Deluxe,2013,Q1 2013,3676.32,46,0.51201201
United States,Fax,Outdoors Shop,Personal Accessories,Watches,Mountain Man Combination,2013,Q1 2013,4848.57,51,0.52666456
United States,Fax,Outdoors Shop,Personal Accessories,Watches,Mountain Man Extreme,2013,Q1 2013,6853.2,24,0.59310103
United States,Fax,Outdoors Shop,Personal Accessories,Eyewear,Polar Sports,2013,Q1 2013,1963.2,16,0.5201304
United States,Fax,Outdoors Shop,Personal Accessories,Knives,Edge Extreme,2013,Q1 2013,51396.92,452,0.2964559
United States,Fax,Outdoors Shop,Personal Accessories,Navigation,Glacier GPS Extreme,2013,Q1 2013,58417.02,171,0.48343188
United States,Telephone,Warehouse Store,Camping Equipment,Cooking Gear,TrailChef Cook Set,2013,Q1 2013,52374.24,983,0.34365616
United States,Telephone,Warehouse Store,Camping Equipment,Cooking Gear,TrailChef Deluxe Cook Set,2013,Q1 2013,46950.63,381,0.35437799
United States,Telephone,Warehouse Store,Camping Equipment,Cooking Gear,TrailChef Utensils,2013,Q1 2013,16272.9,861,0.47089947
United States,Telephone,Warehouse Store,Camping Equipment,Tents,Star Lite,2013,Q1 2013,405769.48,1154,0.28900518
