Retailer country,Order method type,Retailer type,Product line,Product type,Product,Year,Quarter,Revenue,Quantity,Gross margin
United States,Fax,Outdoors Shop,Camping Equipment,Tents,Star Dome,2013,Q2 2013,134181.95,217,0.35958599
United States,Fax,Outdoors Shop,Camping Equipment,Packs,Canyon Mule Weekender Backpack,2013,Q2 2013,96961.2,357,0.38637703
United States,Fax,Outdoors Shop,Mountaineering Equipment,Tools,Granite Ice,2013,Q2 2013,45220.0,595,0.48723684
United States,Fax,Outdoors Shop,Mountaineering Equipment,Tools,Granite Hammer,2013,Q2 2013,32063.56,422,0.25138194
United States,Fax,Outdoors Shop,Mountaineering Equipment,Tools,Granite Shovel,2013,Q2 2013,16343.62,278,0.3856098
United States,Fax,Outdoors Shop,Mountaineering Equipment,Tools,Granite Grip,2013,Q2 2013,17757.6,906,0.49540816
United States,Fax,Outdoors Shop,Mountaineering Equipment,Tools,Granite Axe,2013,Q2 2013,57836.0,1522,0.48631579
United States,Fax,Outdoors Shop,Mountaineering Equipment,Tools,Granite Extreme,2013,Q2 2013,75544.0,994,0.38789474
United States,Fax,Outdoors Shop,Personal Accessories,Watches,Mountain Man Digital,2013,Q2 2013,4159.56,102,0.50956351
United States,Fax,Outdoors Shop,Personal Accessories,Watches,Mountain Man Deluxe,2013,Q2 2013,9063.99,117,0.49657932
United States,Fax,Outdoors Shop,Personal Accessories,Eyewear,Polar Sun,2013,Q2 2013,1546.0,25,0.57713454
United States,Fax,Sports Store,Camping Equipment,Cooking Gear,TrailChef Canteen,2013,Q2 2013,5412.96,432,0.367917
United States,Fax,Sports Store,Camping Equipment,Cooking Gear,TrailChef Kettle,2013,Q2 2013,14178.84,1788,0.48675914
United States,Fax,Sports Store,Camping Equipment,Cooking Gear,TrailChef Utensils,2013,Q2 2013,8260.98,714,0.43820225
United States,Fax,Sports Store,Camping Equipment,Tents,Star Gazer 2,2013,Q2 2013,75802.1,137,0.2904934
United States,Fax,Sports Store,Camping Equipment,Packs,Canyon Mule Weekender Backpack,2013,Q2 2013,48073.2,177,0.38637703
United States,Fax,Sports Store,Camping Equipment,Packs,Canyon Mule Cooler,2013,Q2 2013,16007.64,724,0.45725916
United States,Fax,Sports Store,Camping Equipment,Lanterns,Firefly Mapreader,2013,Q2 2013,6532.29,401,0.53959484
United States,Fax,Sports Store,Camping Equipment,Lanterns,Firefly Multi-light,2013,Q2 2013,3821.76,144,0.33006782
United States,Fax,Sports Store,Camping Equipment,Lanterns,Flicker Lantern,2013,Q2 2013,2701.93,77,0.55485893
United States,Fax,Sports Store,Personal Accessories,Watches,Mountain Man Analog,2013,Q2 2013,2883.92,59,0.38625205
United States,Fax,Sports Store,Personal Accessories,Watches,Mountain Man Digital,2013,Q2 2013,1747.62,42,0.51934631
United States,Fax,Sports Store,Personal Accessories,Eyewear,Polar Sun,2013,Q2 2013,2844.64,46,0.57713454
United States,Fax,Sports Store,Personal Accessories,Eyewear,Polar Ice,2013,Q2 2013,2310.0,21,0.54827273
United States,Fax,Sports Store,Personal Accessories,Eyewear,Polar Sports,2013,Q2 2013,1104.3,9,0.5201304
United States,Fax,Sports Store,Personal Accessories,Knives,Double Edge,2013,Q2 2013,6223.36,374,0.31310096
United States,Fax,Sports Store,Personal Accessories,Knives,Bear Survival Edge,2013,Q2 2013,8417.28,96,0.46395985
United States,Fax,Sports Store,Outdoor Protection,Insect Repellents,BugShield Spray,2013,Q2 2013,985.64,164,0.69550749
United States,Fax,Sports Store,Outdoor Protection,Sunscreen,Sun Shelter 15,2013,Q2 2013,1050.0,210,0.642
United States,Fax,Sports Store,Outdoor Protection,Sunscreen,Sun Shelter 30,2013,Q2 2013,1825.0,365,0.63
United States,Fax,Sports Store,Outdoor Protection,First Aid,Aloe Relief,2013,Q2 2013,156.9,30,0.63288719
United States,Fax,Sports Store,Golf Equipment,Irons,Lady Hailstorm Steel Irons,2013,Q2 2013,20244.4,40,0.4511865
United States,Fax,Sports Store,Golf Equipment,Woods,Lady Hailstorm Titanium Woods Set,2013,Q2 2013,36168.44,28,0.52776509
United States,Fax,Sports Store,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,2013,Q2 2013,4596.48,432,0.73684211
United States,Fax,Sports Store,Golf Equipment,Golf Accessories,Course Pro Gloves,2013,Q2 2013,3405.78,318,0.76190476
United States,Telephone,Department Store,Camping Equipment,Tents,Star Lite,2013,Q2 2013,77727.3,210,0.32456164
United States,Telephone,Department Store,Camping Equipment,Packs,Canyon Mule Journey Backpack,2013,Q2 2013,62304.9,210,0.28096667
United States,Telephone,Department Store,Personal Accessories,Navigation,Glacier GPS,2013,Q2 2013,21069.1,190,0.33772207
United States,Telephone,Warehouse Store,Camping Equipment,Cooking Gear,TrailChef Water Bag,2013,Q2 2013,19756.56,3156,0.53194888
United States,Telephone,Warehouse Store,Camping Equipment,Cooking Gear,TrailChef Canteen,2013,Q2 2013,14786.55,1217,0.34814815
United States,Telephone,Warehouse Store,Camping Equipment,Cooking Gear,TrailChef Double Flame,2013,Q2 2013,59690.52,414,0.4798169
United States,Telephone,Warehouse Store,Camping Equipment,Tents,Star Lite,2013,Q2 2013,191632.9,545,0.28900518
United States,Telephone,Warehouse Store,Camping Equipment,Tents,Star Dome,2013,Q2 2013,110684.65,179,0.35958599
