Retailer country,Order method type,Retailer type,Product line,Product type,Product,Year,Quarter,Revenue,Quantity,Gross margin
United States,Fax,Sports Store,Camping Equipment,Packs,Canyon Mule Cooler,2014,Q2 2014,46784.76,2116,0.45725916
United States,Fax,Sports Store,Personal Accessories,Binoculars,Seeker 50,2014,Q2 2014,35799.4,281,0.2733124
United States,Fax,Sports Store,Outdoor Protection,Insect Repellents,BugShield Spray,2014,Q2 2014,1604.67,267,0.69550749
United States,Fax,Sports Store,Outdoor Protection,Sunscreen,Sun Shelter 15,2014,Q2 2014,1808.04,366,0.63765182
United States,Fax,Sports Store,Outdoor Protection,First Aid,Aloe Relief,2014,Q2 2014,36.61,7,0.63288719
United States,Fax,Sports Store,Outdoor Protection,First Aid,Insect Bite Relief,2014,Q2 2014,828.0,138,0.54
United States,Fax,Sports Store,Golf Equipment,Woods,Hailstorm Titanium Woods Set,2014,Q2 2014,173884.32,144,0.48738334
United States,Fax,Sports Store,Golf Equipment,Woods,Hailstorm Steel Woods Set,2014,Q2 2014,106453.2,161,0.48336358
United States,Fax,Sports Store,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,2014,Q2 2014,12838.08,1244,0.67054264
United States,E-mail,Golf Shop,Personal Accessories,Eyewear,Polar Sun,2014,Q2 2014,1360.48,22,0.58441138
United States,E-mail,Golf Shop,Outdoor Protection,Insect Repellents,BugShield Natural,2014,Q2 2014,1128.0,188,0.69
United States,E-mail,Golf Shop,Outdoor Protection,First Aid,Aloe Relief,2014,Q2 2014,15.69,3,0.63288719
United States,E-mail,Golf Shop,Golf Equipment,Irons,Hailstorm Steel Irons,2014,Q2 2014,27590.85,63,0.49537618
United States,E-mail,Golf Shop,Golf Equipment,Irons,Lady Hailstorm Titanium Irons,2014,Q2 2014,40539.36,48,0.50270552
United States,E-mail,Golf Shop,Golf Equipment,Woods,Lady Hailstorm Titanium Woods Set,2014,Q2 2014,51669.2,40,0.52776509
United States,E-mail,Golf Shop,Golf Equipment,Putters,Blue Steel Max Putter,2014,Q2 2014,14242.8,83,0.52331002
United States,E-mail,Golf Shop,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,2014,Q2 2014,5361.02,514,0.67401726
United States,E-mail,Golf Shop,Golf Equipment,Golf Accessories,Course Pro Gloves,2014,Q2 2014,8399.12,1567,0.52425373
United States,E-mail,Outdoors Shop,Camping Equipment,Cooking Gear,TrailChef Water Bag,2014,Q2 2014,10422.09,1631,0.52895149
United States,E-mail,Outdoors Shop,Camping Equipment,Cooking Gear,TrailChef Canteen,2014,Q2 2014,5434.85,365,0.45466756
United States,E-mail,Outdoors Shop,Camping Equipment,Cooking Gear,TrailChef Single Flame,2014,Q2 2014,22137.07,349,0.26880025
United States,E-mail,Outdoors Shop,Camping Equipment,Tents,Star Dome,2014,Q2 2014,20405.55,33,0.35958599
United States,E-mail,Outdoors Shop,Camping Equipment,Tents,Star Peg,2014,Q2 2014,2181.6,1080,0.5049505
United States,E-mail,Outdoors Shop,Camping Equipment,Sleeping Bags,Hibernator Extreme,2014,Q2 2014,37278.24,148,0.40447832
United States,E-mail,Outdoors Shop,Camping Equipment,Packs,Canyon Mule Climber Backpack,2014,Q2 2014,22928.28,314,0.2810189
United States,E-mail,Outdoors Shop,Camping Equipment,Packs,Canyon Mule Journey Backpack,2014,Q2 2014,49677.12,141,0.39449932
United States,E-mail,Outdoors Shop,Camping Equipment,Packs,Canyon Mule Extreme Backpack,2014,Q2 2014,31499.28,72,0.45397609
United States,E-mail,Outdoors Shop,Camping Equipment,Lanterns,Firefly Mapreader,2014,Q2 2014,6401.97,393,0.53959484
United States,E-mail,Outdoors Shop,Camping Equipment,Lanterns,EverGlow Single,2014,Q2 2014,10234.0,425,0.37707641
United States,E-mail,Outdoors Shop,Camping Equipment,Lanterns,EverGlow Butane,2014,Q2 2014,3416.4,52,0.38158295
United States,E-mail,Outdoors Shop,Mountaineering Equipment,Rope,Husky Rope 60,2014,Q2 2014,12635.0,70,0.29911357
United States,E-mail,Outdoors Shop,Mountaineering Equipment,Rope,Husky Rope 100,2014,Q2 2014,37543.62,114,0.30862661
United States,E-mail,Outdoors Shop,Mountaineering Equipment,Rope,Husky Rope 200,2014,Q2 2014,23487.89,43,0.32198891
United States,E-mail,Outdoors Shop,Mountaineering Equipment,Safety,Granite Climbing Helmet,2014,Q2 2014,22144.5,315,0.25263158
United States,E-mail,Outdoors Shop,Mountaineering Equipment,Safety,Husky Harness,2014,Q2 2014,14140.75,229,0.29117409
United States,E-mail,Outdoors Shop,Mountaineering Equipment,Safety,Husky Harness Extreme,2014,Q2 2014,36993.0,354,0.48392344
United States,E-mail,Outdoors Shop,Mountaineering Equipment,Climbing Accessories,Granite Carabiner,2014,Q2 2014,12467.8,3281,0.48421053
United States,E-mail,Outdoors Shop,Mountaineering Equipment,Climbing Accessories,Granite Belay,2014,Q2 2014,14630.0,220,0.48165414
