Retailer country,Order method type,Retailer type,Product line,Product type,Product,Year,Quarter,Revenue,Quantity,Gross margin
United States,Web,Golf Shop,Personal Accessories,Watches,Venue,2014,Q3 2014,31828.0,436,0.43424658
United States,Web,Golf Shop,Personal Accessories,Watches,Infinity,2014,Q3 2014,107733.6,449,0.45528859999999993
United States,Web,Golf Shop,Personal Accessories,Watches,Lux,2014,Q3 2014,11302.0,65,0.48210051
United States,Web,Golf Shop,Personal Accessories,Watches,Sam,2014,Q3 2014,32305.9,683,0.402537
United States,Web,Golf Shop,Personal Accessories,Watches,TX,2014,Q3 2014,64131.8,362,0.45861928
United States,Web,Golf Shop,Personal Accessories,Watches,Legend,2014,Q3 2014,35396.4,133,0.42940243
United States,Web,Golf Shop,Personal Accessories,Watches,Zodiak,2014,Q3 2014,15773.1,136,0.42062752
United States,Web,Golf Shop,Personal Accessories,Watches,Kodiak,2014,Q3 2014,19205.4,144,0.45679028
United States,Web,Golf Shop,Personal Accessories,Eyewear,Polar Sun,2014,Q3 2014,8930.0,152,0.56255319
United States,Web,Golf Shop,Personal Accessories,Eyewear,Polar Ice,2014,Q3 2014,9718.5,93,0.52449761
United States,Web,Golf Shop,Personal Accessories,Eyewear,Polar Sports,2014,Q3 2014,9908.45,85,0.49489577
United States,Web,Golf Shop,Personal Accessories,Eyewear,Bella,2014,Q3 2014,19237.5,285,0.46859259
United States,Web,Golf Shop,Personal Accessories,Eyewear,Capri,2014,Q3 2014,10379.3,271,0.35770235
United States,Web,Golf Shop,Personal Accessories,Eyewear,Cat Eye,2014,Q3 2014,31883.45,946,0.34748278
United States,Web,Golf Shop,Personal Accessories,Eyewear,Dante,2014,Q3 2014,23001.65,509,0.35937596
United States,Web,Golf Shop,Personal Accessories,Eyewear,Fairway,2014,Q3 2014,18530.0,872,0.41647059
United States,Web,Golf Shop,Personal Accessories,Eyewear,Inferno,2014,Q3 2014,54702.5,821,0.45528687
United States,Web,Golf Shop,Personal Accessories,Eyewear,Maximus,2014,Q3 2014,29044.25,337,0.50175405
United States,Web,Golf Shop,Personal Accessories,Eyewear,Trendi,2014,Q3 2014,9406.1,187,0.41252485
United States,Web,Golf Shop,Personal Accessories,Eyewear,Zone,2014,Q3 2014,28363.9,830,0.34319117
United States,Web,Golf Shop,Personal Accessories,Eyewear,Hawk Eye,2014,Q3 2014,18126.0,424,0.41614035
United States,Web,Golf Shop,Personal Accessories,Eyewear,Retro,2014,Q3 2014,67536.7,1078,0.46384677
United States,Web,Golf Shop,Personal Accessories,Knives,Max Gizmo,2014,Q3 2014,20642.6,509,0.5581510999999999
United States,Web,Golf Shop,Personal Accessories,Knives,Pocket Gizmo,2014,Q3 2014,12061.5,935,0.62503669
United States,Web,Golf Shop,Personal Accessories,Binoculars,Ranger Vision,2014,Q3 2014,59602.5,355,0.53381402
United States,Web,Golf Shop,Personal Accessories,Navigation,Astro Pilot,2014,Q3 2014,7876.0,22,0.37594972
United States,Web,Golf Shop,Personal Accessories,Navigation,Sky Pilot,2014,Q3 2014,7876.0,22,0.35871508
United States,Web,Golf Shop,Golf Equipment,Irons,Hailstorm Steel Irons,2014,Q3 2014,23211.35,53,0.49537618
United States,Web,Golf Shop,Golf Equipment,Irons,Hailstorm Titanium Irons,2014,Q3 2014,359014.7,407,0.49110078
United States,Web,Golf Shop,Golf Equipment,Irons,Lady Hailstorm Steel Irons,2014,Q3 2014,163979.64,324,0.4511865
United States,Web,Golf Shop,Golf Equipment,Irons,Lady Hailstorm Titanium Irons,2014,Q3 2014,231412.18,274,0.50270552
United States,Web,Golf Shop,Golf Equipment,Woods,Hailstorm Titanium Woods Set,2014,Q3 2014,431088.21,357,0.48738334
United States,Web,Golf Shop,Golf Equipment,Woods,Hailstorm Steel Woods Set,2014,Q3 2014,269769.6,408,0.48336358
United States,Web,Golf Shop,Golf Equipment,Woods,Lady Hailstorm Titanium Woods Set,2014,Q3 2014,47794.01,37,0.52776509
United States,Web,Golf Shop,Golf Equipment,Woods,Lady Hailstorm Steel Woods Set,2014,Q3 2014,182574.08,211,0.51345229
United States,Web,Golf Shop,Golf Equipment,Putters,Course Pro Putter,2014,Q3 2014,30394.98,774,0.38528139
United States,Web,Golf Shop,Golf Equipment,Putters,Blue Steel Putter,2014,Q3 2014,5986.01,71,0.51132724
United States,Web,Golf Shop,Golf Equipment,Putters,Blue Steel Max Putter,2014,Q3 2014,16645.2,97,0.52331002
United States,Web,Golf Shop,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,2014,Q3 2014,37974.31,3707,0.66809667
United States,Web,Golf Shop,Golf Equipment,Golf Accessories,Course Pro Umbrella,2014,Q3 2014,7015.45,559,0.48446215
United States,Web,Golf Shop,Golf Equipment,Golf Accessories,Course Pro Golf Bag,2014,Q3 2014,11875.38,57,0.61745224
United States,Web,Golf Shop,Golf Equipment,Golf Accessories,Course Pro Gloves,2014,Q3 2014,6683.92,1247,0.52425373
United States,Web,Department Store,Camping Equipment,Cooking Gear,TrailChef Water Bag,2014,Q3 2014,30880.58,4933,0.51916933
United States,Web,Department Store,Camping Equipment,Cooking Gear,TrailChef Cook Set,2014,Q3 2014,114796.0,2200,0.32981985
United States,Web,Department Store,Camping Equipment,Cooking Gear,TrailChef Double Flame,2014,Q3 2014,50895.54,353,0.4798169
United States,Web,Department Store,Camping Equipment,Tents,Star Gazer 6,2014,Q3 2014,18367.8,23,0.38642625
United States,Web,Department Store,Camping Equipment,Sleeping Bags,Hibernator Lite,2014,Q3 2014,93892.23,1097,0.29898353
United States,Web,Department Store,Camping Equipment,Packs,Canyon Mule Weekender Backpack,2014,Q3 2014,180854.32,636,0.41391635
United States,Web,Department Store,Camping Equipment,Packs,Canyon Mule Journey Backpack,2014,Q3 2014,164885.76,468,0.39449932
United States,Web,Department Store,Camping Equipment,Packs,Canyon Mule Carryall,2014,Q3 2014,50487.09,723,0.41028211
United States,Web,Department Store,Camping Equipment,Lanterns,Firefly Multi-light,2014,Q3 2014,4219.86,159,0.33006782
United States,Web,Department Store,Camping Equipment,Lanterns,EverGlow Lamp,2014,Q3 2014,37475.22,1389,0.52594514
United States,Web,Department Store,Camping Equipment,Lanterns,Flicker Lantern,2014,Q3 2014,10784.28,312,0.54809779
United States,Web,Department Store,Personal Accessories,Watches,Mountain Man Analog,2014,Q3 2014,12980.9,271,0.3736952
United States,Web,Department Store,Personal Accessories,Watches,Mountain Man Deluxe,2014,Q3 2014,22776.18,294,0.49657932
United States,Web,Department Store,Personal Accessories,Watches,Venue,2014,Q3 2014,51684.0,708,0.43424658
United States,Web,Department Store,Personal Accessories,Watches,Infinity,2014,Q3 2014,40379.8,169,0.45291458
United States,Web,Department Store,Personal Accessories,Watches,Lux,2014,Q3 2014,5734.8,32,0.47187696
United States,Web,Department Store,Personal Accessories,Watches,Sam,2014,Q3 2014,22751.3,481,0.402537
United States,Web,Department Store,Personal Accessories,Watches,TX,2014,Q3 2014,36502.5,183,0.47355496
United States,Web,Department Store,Personal Accessories,Watches,Legend,2014,Q3 2014,37942.4,148,0.42883265
United States,Web,Department Store,Personal Accessories,Watches,Kodiak,2014,Q3 2014,4767.0,35,0.45668135
United States,Web,Department Store,Personal Accessories,Eyewear,Polar Sun,2014,Q3 2014,24288.31,409,0.56722802
United States,Web,Department Store,Personal Accessories,Eyewear,Polar Ice,2014,Q3 2014,7532.2,78,0.48543321
United States,Web,Department Store,Personal Accessories,Eyewear,Polar Sports,2014,Q3 2014,33706.81,288,0.49691353
United States,Web,Department Store,Personal Accessories,Eyewear,Bella,2014,Q3 2014,49680.0,736,0.46859259
United States,Web,Department Store,Personal Accessories,Eyewear,Capri,2014,Q3 2014,44811.0,1170,0.35770235
