Retailer country,Order method type,Retailer type,Product line,Product type,Product,Year,Quarter,Revenue,Quantity,Gross margin
United States,Fax,Outdoors Shop,Camping Equipment,Sleeping Bags,Hibernator Extreme,2012,Q2 2012,75516.69,303,0.39814629
United States,Fax,Outdoors Shop,Mountaineering Equipment,Rope,Husky Rope 100,2012,Q2 2012,35192.88,108,0.30126435
United States,Fax,Outdoors Shop,Mountaineering Equipment,Rope,Husky Rope 200,2012,Q2 2012,91341.12,169,0.31477575
United States,Fax,Outdoors Shop,Mountaineering Equipment,Safety,Granite Climbing Helmet,2012,Q2 2012,79507.08,1143,0.24468085
United States,Fax,Outdoors Shop,Mountaineering Equipment,Safety,Husky Harness,2012,Q2 2012,43625.4,714,0.28363339
United States,Fax,Outdoors Shop,Mountaineering Equipment,Safety,Husky Harness Extreme,2012,Q2 2012,105364.6,1019,0.47843327
United States,Fax,Outdoors Shop,Mountaineering Equipment,Safety,Granite Signal Mirror,2012,Q2 2012,13291.74,525,0.42661232
United States,Fax,Outdoors Shop,Mountaineering Equipment,Climbing Accessories,Granite Carabiner,2012,Q2 2012,13348.0,3550,0.4787234
United States,Fax,Outdoors Shop,Mountaineering Equipment,Climbing Accessories,Granite Belay,2012,Q2 2012,33097.4,503,0.47613982
United States,Fax,Outdoors Shop,Mountaineering Equipment,Climbing Accessories,Granite Pulley,2012,Q2 2012,14928.3,405,0.50217037
United States,Fax,Outdoors Shop,Mountaineering Equipment,Climbing Accessories,Firefly Climbing Lamp,2012,Q2 2012,7331.31,189,0.42768755
United States,Fax,Outdoors Shop,Mountaineering Equipment,Tools,Granite Ice,2012,Q2 2012,67604.8,899,0.48178191
United States,Fax,Outdoors Shop,Mountaineering Equipment,Tools,Granite Hammer,2012,Q2 2012,47513.76,632,0.2434158
United States,Fax,Outdoors Shop,Mountaineering Equipment,Tools,Granite Shovel,2012,Q2 2012,25429.03,437,0.33699948
United States,Fax,Outdoors Shop,Mountaineering Equipment,Tools,Granite Grip,2012,Q2 2012,26886.8,1377,0.49348639
United States,Fax,Outdoors Shop,Mountaineering Equipment,Tools,Granite Axe,2012,Q2 2012,83174.4,2166,0.49166667
United States,Fax,Outdoors Shop,Mountaineering Equipment,Tools,Granite Extreme,2012,Q2 2012,72192.0,960,0.38138298
United States,Fax,Outdoors Shop,Personal Accessories,Watches,Mountain Man Deluxe,2012,Q2 2012,7666.0,100,0.49126011
United States,Fax,Outdoors Shop,Personal Accessories,Watches,Mountain Man Combination,2012,Q2 2012,5269.04,56,0.52173451
United States,Fax,Outdoors Shop,Personal Accessories,Watches,Mountain Man Extreme,2012,Q2 2012,5711.0,20,0.59310103
United States,Fax,Outdoors Shop,Personal Accessories,Eyewear,Polar Sun,2012,Q2 2012,16092.32,266,0.56775033
United States,Fax,Outdoors Shop,Personal Accessories,Eyewear,Polar Wave,2012,Q2 2012,2294.88,24,0.56996444
United States,Fax,Outdoors Shop,Personal Accessories,Knives,Single Edge,2012,Q2 2012,75290.69,6269,0.28726062
United States,Fax,Outdoors Shop,Personal Accessories,Knives,Double Edge,2012,Q2 2012,19061.34,1181,0.29182156
United States,Fax,Outdoors Shop,Personal Accessories,Knives,Edge Extreme,2012,Q2 2012,28465.03,253,0.28895209
United States,Fax,Outdoors Shop,Outdoor Protection,First Aid,Calamine Relief,2012,Q2 2012,582.0,97,0.52833333
United States,Telephone,Golf Shop,Personal Accessories,Watches,Mountain Man Deluxe,2012,Q2 2012,3875.9,49,0.50695322
United States,Telephone,Golf Shop,Personal Accessories,Watches,Mountain Man Combination,2012,Q2 2012,2593.35,27,0.53149401
United States,Telephone,Golf Shop,Personal Accessories,Watches,Venue,2012,Q2 2012,31755.0,435,0.41580224
United States,Telephone,Golf Shop,Personal Accessories,Watches,Infinity,2012,Q2 2012,2860.0,13,0.47272727
United States,Telephone,Golf Shop,Personal Accessories,Watches,Lux,2012,Q2 2012,12372.8,74,0.47548817
United States,Telephone,Golf Shop,Personal Accessories,Watches,Sam,2012,Q2 2012,5657.4,126,0.38619154
United States,Telephone,Golf Shop,Personal Accessories,Watches,TX,2012,Q2 2012,31292.0,160,0.46361818
United States,Telephone,Golf Shop,Personal Accessories,Watches,Legend,2012,Q2 2012,13266.4,53,0.45655943
United States,Telephone,Golf Shop,Personal Accessories,Watches,Zodiak,2012,Q2 2012,5439.2,52,0.42428298
United States,Telephone,Golf Shop,Personal Accessories,Watches,Kodiak,2012,Q2 2012,13954.8,116,0.44137644
United States,Telephone,Golf Shop,Personal Accessories,Eyewear,Bella,2012,Q2 2012,2835.0,42,0.44755556
United States,Telephone,Golf Shop,Personal Accessories,Eyewear,Cat Eye,2012,Q2 2012,14629.55,432,0.3292685
United States,Telephone,Golf Shop,Personal Accessories,Eyewear,Dante,2012,Q2 2012,7016.0,160,0.35119726
United States,Telephone,Golf Shop,Personal Accessories,Eyewear,Fairway,2012,Q2 2012,12150.45,603,0.40440313
United States,Telephone,Golf Shop,Personal Accessories,Eyewear,Inferno,2012,Q2 2012,6500.0,100,0.39538462
United States,Telephone,Golf Shop,Personal Accessories,Eyewear,Maximus,2012,Q2 2012,13760.0,172,0.49226308
United States,Telephone,Golf Shop,Personal Accessories,Eyewear,Zone,2012,Q2 2012,70402.1,2297,0.3225695
United States,Telephone,Golf Shop,Personal Accessories,Eyewear,Hawk Eye,2012,Q2 2012,10449.0,258,0.39907455
United States,Telephone,Golf Shop,Personal Accessories,Knives,Max Gizmo,2012,Q2 2012,6455.8,169,0.53769634
United States,Telephone,Golf Shop,Personal Accessories,Knives,Pocket Gizmo,2012,Q2 2012,5124.0,420,0.59918033
United States,Telephone,Golf Shop,Personal Accessories,Binoculars,Seeker 50,2012,Q2 2012,6176.94,49,0.26558782
United States,Telephone,Golf Shop,Personal Accessories,Binoculars,Ranger Vision,2012,Q2 2012,11840.0,74,0.43675676
United States,Telephone,Golf Shop,Personal Accessories,Navigation,Glacier GPS,2012,Q2 2012,12728.68,116,0.28415201
United States,Telephone,Golf Shop,Personal Accessories,Navigation,Trail Scout,2012,Q2 2012,6664.0,28,0.35504202
United States,Telephone,Golf Shop,Golf Equipment,Irons,Hailstorm Steel Irons,2012,Q2 2012,37700.58,87,0.49000785
United States,Telephone,Golf Shop,Golf Equipment,Irons,Hailstorm Titanium Irons,2012,Q2 2012,66334.32,76,0.43751289
United States,Telephone,Golf Shop,Golf Equipment,Irons,Lady Hailstorm Steel Irons,2012,Q2 2012,13664.97,27,0.4511865
United States,Telephone,Golf Shop,Golf Equipment,Irons,Lady Hailstorm Titanium Irons,2012,Q2 2012,39694.79,47,0.45534414
United States,Telephone,Golf Shop,Golf Equipment,Woods,Hailstorm Titanium Woods Set,2012,Q2 2012,89611.5,75,0.42250716
United States,Telephone,Golf Shop,Golf Equipment,Woods,Hailstorm Steel Woods Set,2012,Q2 2012,24861.12,38,0.47786745
United States,Telephone,Golf Shop,Golf Equipment,Woods,Lady Hailstorm Titanium Woods Set,2012,Q2 2012,65511.3,51,0.48568949
United States,Telephone,Golf Shop,Golf Equipment,Woods,Lady Hailstorm Steel Woods Set,2012,Q2 2012,42280.29,49,0.45272892
United States,Telephone,Golf Shop,Golf Equipment,Putters,Course Pro Putter,2012,Q2 2012,21675.0,300,0.51695502
United States,Telephone,Golf Shop,Golf Equipment,Putters,Blue Steel Putter,2012,Q2 2012,8176.14,98,0.50617284
United States,Telephone,Golf Shop,Golf Equipment,Putters,Blue Steel Max Putter,2012,Q2 2012,30901.78,182,0.45933212
United States,Telephone,Golf Shop,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,2012,Q2 2012,7593.04,728,0.73154362
United States,Telephone,Golf Shop,Golf Equipment,Golf Accessories,Course Pro Umbrella,2012,Q2 2012,4405.05,351,0.52191235
United States,Telephone,Golf Shop,Golf Equipment,Golf Accessories,Course Pro Golf Bag,2012,Q2 2012,8657.88,42,0.61336955
United States,Telephone,Golf Shop,Golf Equipment,Golf Accessories,Course Pro Gloves,2012,Q2 2012,17496.82,2688,0.62975672
United States,Telephone,Department Store,Camping Equipment,Cooking Gear,TrailChef Canteen,2012,Q2 2012,21015.4,1766,0.44369748
United States,Telephone,Department Store,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,2012,Q2 2012,76761.4,4486,0.24283038
United States,Telephone,Department Store,Camping Equipment,Cooking Gear,TrailChef Cook Set,2012,Q2 2012,107679.09,2174,0.29863068
United States,Telephone,Department Store,Camping Equipment,Cooking Gear,TrailChef Deluxe Cook Set,2012,Q2 2012,0.0,95,
United States,Telephone,Department Store,Camping Equipment,Cooking Gear,TrailChef Double Flame,2012,Q2 2012,14418.15,95,0.50583119
United States,Telephone,Department Store,Camping Equipment,Cooking Gear,TrailChef Kettle,2012,Q2 2012,61857.78,4893,0.5957949
United States,Telephone,Department Store,Camping Equipment,Tents,Star Lite,2012,Q2 2012,49560.33,136,0.31396744
United States,Telephone,Department Store,Camping Equipment,Tents,Star Dome,2012,Q2 2012,287382.14,463,0.36200628
United States,Telephone,Department Store,Camping Equipment,Tents,Star Gazer 3,2012,Q2 2012,110098.93,173,0.33062020000000003
United States,Telephone,Department Store,Camping Equipment,Tents,Star Gazer 6,2012,Q2 2012,78512.97,100,0.37589929
United States,Telephone,Department Store,Camping Equipment,Sleeping Bags,Hibernator Lite,2012,Q2 2012,52162.88,616,0.29145017
United States,Telephone,Department Store,Camping Equipment,Sleeping Bags,Hibernator Self - Inflating Mat,2012,Q2 2012,72615.41,607,0.5440107
United States,Telephone,Department Store,Camping Equipment,Sleeping Bags,Hibernator Pad,2012,Q2 2012,63409.41,1623,0.50933292
United States,Telephone,Department Store,Camping Equipment,Sleeping Bags,Hibernator Pillow,2012,Q2 2012,28711.46,1675,0.52511993
United States,Telephone,Department Store,Camping Equipment,Sleeping Bags,Hibernator Camp Cot,2012,Q2 2012,43605.24,444,0.33560737
United States,Telephone,Department Store,Camping Equipment,Packs,Canyon Mule Climber Backpack,2012,Q2 2012,16111.75,223,0.27335640000000005
United States,Telephone,Department Store,Camping Equipment,Packs,Canyon Mule Weekender Backpack,2012,Q2 2012,30636.36,114,0.37984669
United States,Telephone,Department Store,Camping Equipment,Packs,Canyon Mule Journey Backpack,2012,Q2 2012,386957.1,1110,0.38805542
