Retailer country,Order method type,Retailer type,Product line,Product type,Product,Year,Quarter,Revenue,Quantity,Gross margin
United States,Fax,Sports Store,Camping Equipment,Cooking Gear,TrailChef Canteen,2013,Q3 2013,4360.44,348,0.367917
United States,Fax,Sports Store,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,2013,Q3 2013,7711.2,324,0.33067227
United States,Fax,Sports Store,Camping Equipment,Cooking Gear,TrailChef Cup,2013,Q3 2013,3821.04,1044,0.76775956
United States,Fax,Sports Store,Camping Equipment,Cooking Gear,TrailChef Deluxe Cook Set,2013,Q3 2013,19100.65,155,0.35437799
United States,Fax,Sports Store,Camping Equipment,Cooking Gear,TrailChef Single Flame,2013,Q3 2013,31715.0,500,0.26880025
United States,Fax,Sports Store,Camping Equipment,Cooking Gear,TrailChef Double Flame,2013,Q3 2013,13408.74,93,0.4798169
United States,Fax,Sports Store,Camping Equipment,Tents,Star Lite,2013,Q3 2013,73136.96,208,0.28900518
United States,Fax,Sports Store,Camping Equipment,Tents,Star Gazer 2,2013,Q3 2013,122279.3,221,0.2904934
United States,Fax,Sports Store,Camping Equipment,Tents,Star Gazer 3,2013,Q3 2013,69280.12,98,0.35779557
United States,Fax,Sports Store,Camping Equipment,Tents,Star Gazer 6,2013,Q3 2013,12910.72,16,0.39275269
United States,Fax,Sports Store,Camping Equipment,Tents,Star Peg,2013,Q3 2013,1788.08,868,0.51456311
United States,Fax,Sports Store,Camping Equipment,Sleeping Bags,Hibernator Extreme,2013,Q3 2013,37278.24,148,0.40447832
United States,Fax,Sports Store,Camping Equipment,Sleeping Bags,Hibernator Pillow,2013,Q3 2013,3633.84,294,0.41909385
United States,Fax,Sports Store,Camping Equipment,Sleeping Bags,Hibernator Camp Cot,2013,Q3 2013,6551.16,66,0.3426355
United States,Fax,Sports Store,Camping Equipment,Packs,Canyon Mule Weekender Backpack,2013,Q3 2013,31777.2,117,0.38637703
United States,Fax,Sports Store,Camping Equipment,Packs,Canyon Mule Cooler,2013,Q3 2013,24008.4,760,0.52516619
United States,Fax,Sports Store,Camping Equipment,Lanterns,Firefly Mapreader,2013,Q3 2013,5457.15,335,0.53959484
United States,Fax,Sports Store,Camping Equipment,Lanterns,Firefly 4,2013,Q3 2013,3591.68,122,0.38858696
United States,Fax,Sports Store,Camping Equipment,Lanterns,Firefly Extreme,2013,Q3 2013,3535.36,64,0.45166546
United States,Fax,Sports Store,Camping Equipment,Lanterns,EverGlow Double,2013,Q3 2013,1199.45,23,0.44870566
United States,Fax,Sports Store,Camping Equipment,Lanterns,EverGlow Kerosene,2013,Q3 2013,8739.35,277,0.36608558
United States,Fax,Sports Store,Camping Equipment,Lanterns,EverGlow Butane,2013,Q3 2013,2854.34,43,0.38791805
United States,Fax,Sports Store,Camping Equipment,Lanterns,EverGlow Lamp,2013,Q3 2013,10206.27,367,0.54009349
United States,Fax,Sports Store,Personal Accessories,Watches,Mountain Man Analog,2013,Q3 2013,2248.48,46,0.38625205
United States,Fax,Sports Store,Personal Accessories,Watches,Mountain Man Deluxe,2013,Q3 2013,6455.54,80,0.51669419
United States,Fax,Sports Store,Personal Accessories,Eyewear,Polar Sun,2013,Q3 2013,6678.72,108,0.57713454
United States,Fax,Sports Store,Personal Accessories,Eyewear,Polar Ice,2013,Q3 2013,3520.0,32,0.54827273
United States,Fax,Sports Store,Personal Accessories,Eyewear,Polar Sports,2013,Q3 2013,15218.87,127,0.50865209
United States,Fax,Sports Store,Personal Accessories,Eyewear,Polar Wave,2013,Q3 2013,956.2,10,0.56996444
United States,Fax,Sports Store,Personal Accessories,Knives,Single Edge,2013,Q3 2013,43607.58,3554,0.30236349
United States,Fax,Sports Store,Personal Accessories,Knives,Double Edge,2013,Q3 2013,4875.52,293,0.31310096
United States,Fax,Sports Store,Personal Accessories,Knives,Edge Extreme,2013,Q3 2013,17511.34,154,0.2964559
United States,Fax,Sports Store,Personal Accessories,Knives,Bear Edge,2013,Q3 2013,6393.31,161,0.40745404
United States,Fax,Sports Store,Personal Accessories,Binoculars,Seeker 35,2013,Q3 2013,23907.17,239,0.28831351
United States,Fax,Sports Store,Personal Accessories,Binoculars,Seeker 50,2013,Q3 2013,15925.0,125,0.2733124
United States,Fax,Sports Store,Personal Accessories,Binoculars,Seeker Extreme,2013,Q3 2013,8156.38,47,0.45764665
United States,Fax,Sports Store,Personal Accessories,Navigation,Glacier Basic,2013,Q3 2013,9227.04,282,0.38875306
United States,Fax,Sports Store,Personal Accessories,Navigation,Glacier Deluxe,2013,Q3 2013,5332.35,57,0.43345804
United States,Fax,Sports Store,Personal Accessories,Navigation,Glacier GPS,2013,Q3 2013,28166.06,254,0.33772207
United States,Fax,Sports Store,Personal Accessories,Navigation,Glacier GPS Extreme,2013,Q3 2013,17422.62,51,0.48343188
United States,Fax,Sports Store,Outdoor Protection,Insect Repellents,BugShield Spray,2013,Q3 2013,1550.58,258,0.69550749
United States,Fax,Sports Store,Outdoor Protection,Insect Repellents,BugShield Lotion,2013,Q3 2013,959.0,137,0.66714286
United States,Fax,Sports Store,Outdoor Protection,Insect Repellents,BugShield Extreme,2013,Q3 2013,7357.0,1051,0.65428571
United States,Fax,Sports Store,Outdoor Protection,Sunscreen,Sun Blocker,2013,Q3 2013,490.0,98,0.61
United States,Fax,Sports Store,Outdoor Protection,Sunscreen,Sun Shelter Stick,2013,Q3 2013,590.0,118,0.608
United States,Fax,Sports Store,Outdoor Protection,Sunscreen,Sun Shelter 30,2013,Q3 2013,1535.0,307,0.63
United States,Fax,Sports Store,Outdoor Protection,First Aid,Deluxe Family Relief Kit,2013,Q3 2013,840.0,24,0.59885714
United States,Fax,Sports Store,Outdoor Protection,First Aid,Calamine Relief,2013,Q3 2013,120.0,20,0.52833333
United States,Fax,Sports Store,Outdoor Protection,First Aid,Insect Bite Relief,2013,Q3 2013,120.0,20,0.54
United States,Fax,Sports Store,Golf Equipment,Irons,Hailstorm Steel Irons,2013,Q3 2013,22773.4,52,0.49537618
United States,Fax,Sports Store,Golf Equipment,Irons,Hailstorm Titanium Irons,2013,Q3 2013,34401.9,39,0.48883347
United States,Fax,Sports Store,Golf Equipment,Irons,Lady Hailstorm Titanium Irons,2013,Q3 2013,27026.24,32,0.50270552
United States,Fax,Sports Store,Golf Equipment,Woods,Hailstorm Titanium Woods Set,2013,Q3 2013,89357.22,74,0.48738334
United States,Fax,Sports Store,Golf Equipment,Woods,Lady Hailstorm Titanium Woods Set,2013,Q3 2013,30022.59,23,0.53268522
United States,Fax,Sports Store,Golf Equipment,Woods,Lady Hailstorm Steel Woods Set,2013,Q3 2013,19236.58,22,0.51852148
United States,Fax,Sports Store,Golf Equipment,Putters,Course Pro Putter,2013,Q3 2013,17889.9,245,0.61106546
United States,Fax,Sports Store,Golf Equipment,Putters,Blue Steel Putter,2013,Q3 2013,7840.83,93,0.51132724
United States,Fax,Sports Store,Golf Equipment,Putters,Blue Steel Max Putter,2013,Q3 2013,23166.0,135,0.46503497
United States,Fax,Sports Store,Golf Equipment,Golf Accessories,Course Pro Umbrella,2013,Q3 2013,5482.68,428,0.53161593
United States,Fax,Sports Store,Golf Equipment,Golf Accessories,Course Pro Golf Bag,2013,Q3 2013,8958.62,43,0.61745224
United States,Fax,Sports Store,Golf Equipment,Golf Accessories,Course Pro Gloves,2013,Q3 2013,9157.89,1474,0.58956703
United States,Telephone,Department Store,Personal Accessories,Watches,Mountain Man Analog,2013,Q3 2013,8334.6,174,0.3736952
United States,Telephone,Department Store,Personal Accessories,Eyewear,Polar Ice,2013,Q3 2013,3379.2,32,0.52945076
United States,Telephone,Department Store,Personal Accessories,Eyewear,Polar Sports,2013,Q3 2013,7693.62,66,0.49489577
United States,Telephone,Department Store,Personal Accessories,Binoculars,Seeker 50,2013,Q3 2013,28792.4,226,0.2733124
United States,Telephone,Department Store,Outdoor Protection,Insect Repellents,BugShield Lotion,2013,Q3 2013,3773.0,539,0.66714286
United States,Telephone,Department Store,Outdoor Protection,Sunscreen,Sun Shelter Stick,2013,Q3 2013,2400.0,480,0.608
